Month_Yr,State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
2000-01,Colorado,2000,9.028765967741936,0.010831870967741936,2.738186741935484,0.8579311935483871
2000-02,Colorado,2000,17.16701325,0.015473357142857143,2.2841732678571427,0.7403285535714286
2000-03,Colorado,2000,12.251036741935483,0.021471806451612903,1.8751155161290323,0.5310433870967742
2000-04,Colorado,2000,1.4200922,0.0221742,1.8567902833333334,0.46846476666666664
2000-05,Colorado,2000,6.859337709677419,0.023624903225806453,1.709175258064516,0.4639550483870968
2000-06,Colorado,2000,10.415643933333333,0.02658193333333333,1.87056405,0.4197675
2000-07,Colorado,2000,19.28216251612903,0.027484709677419356,1.7899251774193548,0.418012935483871
2000-08,Colorado,2000,16.088932774193548,0.023505354838709677,2.4186519677419356,0.5034244516129033
2000-09,Colorado,2000,10.7677031,0.0125227,2.28794405,0.6201814666666666
2000-10,Colorado,2000,18.08984964516129,0.008115612903225806,2.0498235,0.6924496774193548
2000-11,Colorado,2000,28.0266337,0.005973066666666666,2.4083522,0.8208495666666666
2000-12,Colorado,2000,29.36193470967742,0.006845903225806452,2.3779848870967744,0.8089737903225807
2001-01,Colorado,2001,32.60652806451613,0.006536322580645161,1.785422064516129,0.9882408870967742
2001-02,Colorado,2001,29.45434674074074,0.008360814814814814,2.3286394444444443,0.8282575370370371
2001-03,Colorado,2001,23.44641492857143,0.013264821428571428,2.4869434821428573,0.5137812857142857
2001-04,Colorado,2001,23.353689925925927,0.021755481481481483,1.7489997222222222,0.4758326666666667
2001-05,Colorado,2001,20.316970548387097,0.021630387096774194,1.9214114032258065,0.42204012903225807
2001-06,Colorado,2001,18.845178399999998,0.025022266666666668,2.5702071666666666,0.41670203333333333
2001-07,Colorado,2001,24.814548,0.026721806451612904,3.4045827741935484,0.4453395322580645
2001-08,Colorado,2001,25.556058419354837,0.022658645161290323,2.3731271612903226,0.5128418548387097
2001-09,Colorado,2001,25.20218748148148,0.016794592592592594,2.446785537037037,0.5812879074074074
2001-10,Colorado,2001,23.632534624999998,0.0140494375,2.64470109375,0.598698
2001-11,Colorado,2001,31.136348789473683,0.005142526315789473,2.9768218684210526,0.9465248157894737
2001-12,Colorado,2001,33.761398739130435,0.006158173913043478,2.9002298260869566,0.9856592608695652
2002-01,Colorado,2002,27.294161652173912,0.00885691304347826,2.144930913043478,0.7943460217391304
2002-02,Colorado,2002,25.552648357142857,0.014092785714285714,2.6400945714285715,0.6062576964285714
2002-03,Colorado,2002,21.101706269230768,0.016793346153846155,1.954615826923077,0.49896184615384614
2002-04,Colorado,2002,15.659617933333333,0.026488866666666666,1.9444626166666668,0.3707155833333333
2002-05,Colorado,2002,17.165015225806453,0.025472032258064516,1.6032026612903225,0.40707148387096775
2002-06,Colorado,2002,18.299004933333332,0.03210003333333333,2.7136386,0.4562332
2002-07,Colorado,2002,17.00411729032258,0.031215,1.6459225483870967,0.44220082258064514
2002-08,Colorado,2002,19.312455432432433,0.024141,1.983349418918919,0.40429
2002-09,Colorado,2002,24.73666,0.024843749999999998,2.677950375,0.40720125
2002-10,Colorado,2002,5,0.0167085,0,0.21458325
2002-11,Colorado,2002,16.659963833333332,0.010219466666666666,3.1421092666666666,0.5586685
2002-12,Colorado,2002,23.969807055555556,0.008786277777777778,2.988446333333333,0.5498993055555556
2003-01,Colorado,2003,23.682029964285714,0.009493857142857142,2.266300410714286,0.7182836607142857
2003-02,Colorado,2003,23.343909333333333,0.01547225,1.3976507708333334,0.5204860625
2003-03,Colorado,2003,20.263128576923076,0.023480730769230768,0.9812492115384616,0.37315973076923076
2003-04,Colorado,2003,20.3323681875,0.027539125,1.9925424062500001,0.363354875
2003-05,Colorado,2003,15.615466032258064,0.026456967741935483,1.4028068225806452,0.3292280483870968
2003-06,Colorado,2003,16.77052611764706,0.03142647058823529,1.3864698235294117,0.30879491176470586
2003-07,Colorado,2003,17.193826607142856,0.024933107142857142,1.906763607142857,0.47775942857142856
2003-08,Colorado,2003,17.652574807692307,0.028086576923076922,1.4635876538461539,0.4523027884615385
2003-09,Colorado,2003,19.816580315789473,0.02049661403508772,1.9477976315789474,0.4758580877192983
2003-10,Colorado,2003,28.023727192307692,0.014933269230769231,2.599233826923077,0.627479
2003-11,Colorado,2003,22.810493725490197,0.00940035294117647,2.554617205882353,0.7818121568627451
2003-12,Colorado,2003,26.74690549090909,0.0075949090909090905,3.444994372727273,1.029332709090909
