Month_Yr,State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
2011-01,Utah,2011,36.12844174193548,0.008007612903225806,1.3181515,0.6092701451612903
2011-02,Utah,2011,19.981635107142857,0.023904178571428573,1.1627820892857144,0.35933351785714285
2011-03,Utah,2011,16.146840516129032,0.029821645161290322,0.9896797580645161,0.31756159677419354
2011-04,Utah,2011,12.776252448275862,0.03320806896551724,1.0337214310344827,0.26361458620689654
2011-05,Utah,2011,9.982739066666667,0.0365128,1.1091782833333332,0.22306746666666666
2011-06,Utah,2011,10.1919625,0.038872533333333334,1.2221822,0.20586505
2011-07,Utah,2011,10.539003870967742,0.03887541935483871,1.4984123064516128,0.19814956451612903
2011-08,Utah,2011,13.99660770967742,0.04222141935483871,0.6995373387096774,0.21599482258064517
2011-09,Utah,2011,15.4196484,0.033845766666666666,0.40254935000000003,0.25215055
2011-10,Utah,2011,19.44017803448276,0.01754910344827586,0.46770174137931037,0.3601178275862069
2011-11,Utah,2011,24.077433266666667,0.0131514,0.7600873333333333,0.5106091
2011-12,Utah,2011,29.220608096774193,0.00811816129032258,0.8129773548387097,0.6278253548387097
2012-01,Utah,2012,23.487005166666666,0.01372936111111111,0.6837518333333333,0.6367577777777778
2012-02,Utah,2012,13.396792096153845,0.027294442307692308,0.3962235192307692,0.4220212596153846
2012-03,Utah,2012,7.51522485483871,0.03826464516129032,0.27155800806451613,0.3378470564516129
2012-04,Utah,2012,5.970709160714286,0.04284480357142857,0.15514886607142858,0.3752001071428572
2012-05,Utah,2012,6.847914112903226,0.048213274193548386,0.0733223064516129,0.39961437096774194
2012-06,Utah,2012,3.946978023255814,0.046996162790697675,0.12097003488372093,0.19838101744186046
2012-07,Utah,2012,4.636016209677419,0.04746124193548387,0.037282395161290324,0.35216473387096775
2012-08,Utah,2012,7.582858063492064,0.045998920634920636,0.1452054126984127,0.3618718888888889
2012-09,Utah,2012,9.629058016666667,0.03606265,0.16968396666666666,0.3668445416666667
2012-10,Utah,2012,7.511408048387096,0.02808358064516129,0.31259877419354837,0.4157027741935484
2012-11,Utah,2012,10.116202016666668,0.024944666666666667,0.33016274166666665,0.4548372583333333
2012-12,Utah,2012,10.75582775,0.028573533333333335,0.21072323333333334,0.394606375
2013-01,Utah,2013,22.8604115,0.029658983870967742,0.5936892338709677,0.5003847822580645
2013-02,Utah,2013,16.337084732142856,0.035901642857142854,0.4310020803571428,0.3665868125
2013-03,Utah,2013,10.159655423728813,0.03630477966101695,0.23166086440677966,0.3206110254237288
2013-04,Utah,2013,5.4357169655172415,0.037817896551724135,-0.16974716379310345,0.30814252586206897
2013-05,Utah,2013,5.530332862745098,0.04314909803921569,-0.03161829411764706,0.25120449019607843
2013-06,Utah,2013,5.2394145,0.04452809259259259,0.19786422222222222,0.1654915462962963
2013-07,Utah,2013,9.66389687878788,0.044553969696969696,0.35714592424242425,0.22029040909090908
2013-08,Utah,2013,10.348527258064516,0.038004032258064514,0.1721421612903226,0.20831985483870968
2013-09,Utah,2013,10.362201666666667,0.029879833333333335,0.21970333333333333,0.22678795
2013-10,Utah,2013,17.42473116129032,0.018494129032258066,0.46297041935483874,0.36358195161290324
2013-11,Utah,2013,24.291667,0,0.7041664999999999,0.673333
2013-12,Utah,2013,34.139446032258064,0.008630096774193548,0.7778734032258064,0.7217716290322581
2014-01,Utah,2014,34.366735636363636,0.007988545454545455,1.3614800454545455,0.7923553181818181
2014-02,Utah,2014,17.118295857142858,0.016363892857142858,0.4076201428571429,0.41301198214285717
2014-03,Utah,2014,14.56496770967742,0.026939806451612903,0.4334181129032258,0.31049820967741937
2014-04,Utah,2014,11.851383333333333,0.031426366666666664,0.4514246,0.2779713166666667
2014-05,Utah,2014,8.43818370967742,0.03710216129032258,0.27567635483870967,0.22014141935483872
2014-06,Utah,2014,7.529481071428571,0.039976285714285714,0.5139223214285714,0.22199475
2014-07,Utah,2014,7.606990258064516,0.04113709677419355,0.417293,0.20236154838709677
2014-08,Utah,2014,8.635285161290323,0.03916,0.4384101935483871,0.2125345806451613
2014-09,Utah,2014,10.909313826086956,0.028810608695652173,0.40176889130434784,0.23905923913043478
2014-10,Utah,2014,18.05376335483871,0.019391129032258064,0.5419354516129032,0.36253401612903224
2014-11,Utah,2014,21.097049714285713,0.016126464285714286,0.7208170892857143,0.4710011785714286
2014-12,Utah,2014,22.109548,0.01478212,0.40805046,0.49103028
2015-01,Utah,2015,32.88031790322581,0.006612806451612903,0.3292338709677419,0.7470232419354839
2015-02,Utah,2015,19.14143375,0.019988071428571428,0.07844607142857143,0.3884409285714286
2015-03,Utah,2015,18.53272558064516,0.025477129032258065,0.03266127419354839,0.3605158548387097
2015-04,Utah,2015,11.059842933333334,0.035120766666666664,0.009000183333333333,0.26408143333333334
2015-05,Utah,2015,9.107526774193548,0.03880464516129032,0.011223112903225807,0.23177680645161292
2015-06,Utah,2015,7.614736166666667,0.0508027,0.32289265,0.20475386666666667
2015-07,Utah,2015,7.390625,0.042273375,0.30325521875,0.17965115625
2015-10,Utah,2015,14.00452384,0.0229266,0.51286336,0.28992382
2015-12,Utah,2015,27.602259096774194,0.013935935483870968,0.7142005161290322,0.4704175806451613
2016-01,Utah,2016,31.515873142857142,0.013307619047619047,0.6617261666666667,0.515134
