Month_Yr,State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
2013-12,Alabama,2013,12.065634967741936,0.01209883870967742,0.7503113064516129,0.2110068870967742
2014-01,Alabama,2014,16.35284083333333,0.016563166666666667,0.8061868333333333,0.244596
2014-02,Alabama,2014,10.17975090909091,0.018378818181818184,1.594163681818182,0.2430395909090909
2014-03,Alabama,2014,10.785009964285715,0.021016142857142858,0.779802375,0.2396085892857143
2014-04,Alabama,2014,7.9614841,0.027137066666666668,0.9015014166666667,0.19465213333333334
2014-05,Alabama,2014,9.136327064516129,0.03174996774193548,0.9319047580645161,0.19753391935483872
2014-06,Alabama,2014,8.1396970333333325,0.025169533333333334,1.2722006166666666,0.1747716
2014-07,Alabama,2014,7.92169168,0.027816920000000002,0.91076058,0.1744234
2014-08,Alabama,2014,9.694611451612904,0.02716348387096774,2.238450629032258,0.20966982258064518
2014-09,Alabama,2014,8.535685433333333,0.023856933333333333,1.5269910833333333,0.17288303333333332
2014-10,Alabama,2014,10.159007161290322,0.02327148387096774,0.9218952580645161,0.22654404838709677
2014-11,Alabama,2014,9.890896566666667,0.023659666666666666,1.2247763833333334,0.20423121666666666
2014-12,Alabama,2014,10.432609486486486,0.016604594594594596,0.8721436216216216,0.26120893243243243
2015-01,Alabama,2015,13.916667,0.014167,1.4666665,0.234706
2015-03,Alabama,2015,8.3703815,0.02582492857142857,1.2425285714285714,0.2055565892857143
2015-04,Alabama,2015,8.0891378,0.026995766666666667,0.5450062,0.19973245
2015-05,Alabama,2015,10.540388428571429,0.02897475,2.1092936607142856,0.22137539285714286
2015-06,Alabama,2015,8.354786931034482,0.027572275862068965,0.9927720689655173,0.2002203103448276
2015-07,Alabama,2015,8.945275129032257,0.025368193548387097,0.9514118064516129,0.24857785483870967
2015-08,Alabama,2015,8.007253838709678,0.026956193548387096,1.1438084516129032,0.1983468870967742
2015-09,Alabama,2015,9.543601366666667,0.022860933333333333,1.1541858333333332,0.22790625
2015-10,Alabama,2015,9.981417677419355,0.01989916129032258,0.7504496129032259,0.25007356451612905
2015-11,Alabama,2015,9.080018666666668,0.019211133333333335,0.6950457833333333,0.23183025
2015-12,Alabama,2015,9.726836612903226,0.017447451612903227,0.6025073064516129,0.22328379032258064
2016-01,Alabama,2016,10.361527193548387,0.020380387096774193,0.9814191774193548,0.2399668064516129
2016-02,Alabama,2016,9.568943344827586,0.02679651724137931,0.8281878275862069,0.2075001551724138
2016-03,Alabama,2016,9.165883178571429,0.030576,0.7734358392857142,0.18504964285714284
2016-04,Alabama,2016,9.5492774,0.0320306,0.7637849666666666,0.19593986666666666
2016-05,Alabama,2016,8.947624354838709,0.03218958064516129,0.8200426129032258,0.21617887096774194
