Month_Yr,State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
2003-02,South Carolina,2003,5.021825333333333,0.024028,0.9587073333333334,0.24236116666666666
2003-03,South Carolina,2003,3.181223129032258,0.03120567741935484,0.7343318064516129,0.28122067741935486
2003-04,South Carolina,2003,2.4858442,0.035503033333333336,0.6186950166666667,0.2929869
2003-05,South Carolina,2003,1.5960318333333334,0.033699208333333334,0.7513145208333334,0.3072613125
2003-06,South Carolina,2003,1.7564104999999999,0.032979166666666664,1.0895834166666667,0.11111116666666668
2003-07,South Carolina,2003,1.375372,0.0258166875,0.5201129375,0.14917140625
2006-01,South Carolina,2006,2.9425,0.0245937,1.565000025,0.0978383
2006-02,South Carolina,2006,3.8555194642857145,0.029002035714285713,1.6835729821428571,0.11352141071428572
2006-03,South Carolina,2006,3.0257691612903224,0.04119990322580645,1.7093143548387097,0.1405690806451613
2006-04,South Carolina,2006,1.9645202,0.047159766666666665,1.2237753,0.14525608333333334
2006-05,South Carolina,2006,2.0096436785714284,0.0458115,1.340699375,0.15154671428571428
2006-06,South Carolina,2006,0.7500066206896552,0.03771703448275862,0.8030545172413793,0.17902343103448276
2006-07,South Carolina,2006,0.6403226129032258,0.032661225806451616,0.6931835645161291,0.18379635483870968
2006-08,South Carolina,2006,0.7956014,0.031755766666666664,0.06455175,0.1982487
2006-09,South Carolina,2006,0.9340121,0.032488866666666665,0.95770565,0.18389601666666666
2006-10,South Carolina,2006,2.6127675,0.027562466666666667,1.2940412833333332,0.11958168333333334
2006-11,South Carolina,2006,2.8631903666666667,0.025131033333333334,1.9138722333333333,0.10345963333333333
2006-12,South Carolina,2006,2.552209612903226,0.024985709677419355,1.4881341774193548,0.09982196774193548
2007-01,South Carolina,2007,2.851579322580645,0.02371574193548387,1.3212019516129032,0.09946767741935483
2007-02,South Carolina,2007,2.3946805454545457,0.031324454545454544,1.8728084545454546,0.11152222727272727
2007-03,South Carolina,2007,1.9646570344827585,0.03980793103448276,1.0814739310344827,0.12016031034482759
2007-04,South Carolina,2007,1.8292566666666668,0.046509633333333335,1.3686139333333334,0.11965421666666666
2007-05,South Carolina,2007,0.8871472121212122,0.04229945454545454,0.27310607575757573,0.16261427272727272
2007-06,South Carolina,2007,0.8004273846153847,0.041533153846153845,0.6006451538461538,0.06842946153846154
2007-08,South Carolina,2007,1.0748407826086956,0.03366786956521739,0.1898426956521739,0.2089908695652174
2007-09,South Carolina,2007,1.4089418333333332,0.027751366666666666,0.3520386333333333,0.13426826666666666
2007-10,South Carolina,2007,1.852202935483871,0.02505783870967742,0.43582951612903226,0.17051351612903226
2007-11,South Carolina,2007,3.5507264666666667,0.027558466666666667,1.28720865,0.11311691666666666
2007-12,South Carolina,2007,2.9572845806451613,0.022306774193548387,0.9191576129032258,0.10500091935483871
2008-01,South Carolina,2008,3.0567979677419355,0.023104774193548387,1.8207813709677418,0.11518137096774193
2008-02,South Carolina,2008,3.1077539655172415,0.02977251724137931,1.6312714827586208,0.11508041379310345
2008-03,South Carolina,2008,2.1938412903225806,0.040296387096774196,0.849417,0.1333185322580645
2008-04,South Carolina,2008,1.8063373125,0.040046875,0.59438240625,0.130248
2008-05,South Carolina,2008,1.6349205555555555,0.03911794444444444,0.49384469444444445,0.13008205555555555
2008-06,South Carolina,2008,0.6930135666666667,0.03490633333333333,0.4016243,0.17877523333333334
2008-07,South Carolina,2008,0.5914116071428571,0.031795142857142855,0.32401673214285714,0.15531760714285714
2008-08,South Carolina,2008,0.33047963333333336,0.030744933333333332,0.42511730000000003,0.15593708333333334
2008-09,South Carolina,2008,0.9300176,0.026017933333333333,0.3964790833333333,0.12089651666666666
2008-10,South Carolina,2008,2.148302064516129,0.029471709677419355,0.8615809516129033,0.09516740322580645
2008-11,South Carolina,2008,2.39666845,0.02554495,1.09885415,0.094739
2008-12,South Carolina,2008,2.1043988620689653,0.02480803448275862,0.8055316551724138,0.10015022413793104
2009-01,South Carolina,2009,2.4941521935483872,0.02688174193548387,1.3686645,0.04966401612903226
2009-02,South Carolina,2009,2.0193628571428572,0.033614142857142856,0.9469120892857142,0.005586875
2009-03,South Carolina,2009,1.5322491612903226,0.034988870967741934,0.5784405322580645,0.0012096935483870968
2009-04,South Carolina,2009,2.013582,0.04016221428571429,0.5370003035714286,0.08043157142857144
2009-05,South Carolina,2009,0.3976574838709677,0.02869209677419355,0.10329303225806452,0.05302424193548387
2009-06,South Carolina,2009,0.6050921,0.0329404,0.35011366666666666,0.10814883333333333
2009-07,South Carolina,2009,0.22821894444444443,0.02863427777777778,0.13055558333333334,0.08469388888888889
2009-08,South Carolina,2009,0.18402783333333333,0.02284016666666667,0.051943583333333335,0.08429608333333333
2009-09,South Carolina,2009,0.630772,0.017723222222222224,0.04467594444444445,0.08634261111111112
2009-10,South Carolina,2009,1.2078418,0.0221653,0.16120405000000002,0.0948211
2009-11,South Carolina,2009,1.9255589,0.022256966666666666,0.3993749833333333,0.09617378333333333
2009-12,South Carolina,2009,2.228872387096774,0.02178383870967742,0.7827101935483871,0.10125245161290324
2010-01,South Carolina,2010,1.8884682258064516,0.02601558064516129,1.3580243548387096,0.11624143548387098
2010-02,South Carolina,2010,1.4014238148148148,0.03124003703703704,1.1021055740740742,0.10758794444444444
2010-03,South Carolina,2010,1.513272806451613,0.03804164516129032,0.6237072258064515,0.10802495161290324
2010-04,South Carolina,2010,1.7212622,0.04137626666666667,0.41680195,0.09974176666666668
2010-05,South Carolina,2010,0.9086834516129032,0.03135396774193548,0.4069922580645161,0.08032124193548387
